longitude,latitude
123.917,-43.5
126.1,-43.5
28.135,-43.493
-76.25,-43.417
105.575,-43.345
100.018,-43.34
105.533,-43.308
105.548,-43.308
-78.213,-43.26
11.7268,-43.1917
-56.133,-43.15
-31.172,-43.012
-139.983,-43.0
-41.572,-42.983
-20.855,-42.982
-33.855,-42.968
-25.937,-42.955
-23.502,-42.955
-29.777,-42.937
-75.75,-42.925
-134.65,-42.883
8.9628,-42.8795
-23.915,-42.878
-53.927,-42.76
-96.095,-42.725
-45.323,-42.63
-147.983,-42.6
114.44,-42.588
-144.95,-42.567
126.103,-42.502
100.032,-42.447
100.017,-42.437
42.535,-42.398
110.125,-42.398
110.105,-42.397
-48.63,-42.318
41.892,-42.287
94.885,-42.185
26.738,-42.162
-104.25,-42.15
-75.585,-42.11
0.6062,-42.0932
-75.537,-42.082
-75.743,-42.07
26.64,-42.068
-86.067,-42.067
-75.448,-42.067
-75.812,-42.042
-86.067,-42.033
-75.497,-42.022
71.0,-42.017
104.895,-42.013
104.897,-42.013
-130.0,-42.0
-81.95,-41.967
-75.683,-41.965
26.41,-41.943
-97.0833,-41.9
-153.1107,-41.8508
-50.2,-41.85
105.023,-41.773
-54.33,-41.65
-142.333,-41.55
99.975,-41.522
-51.13,-41.513
114.433,-41.495
-78.583,-41.333
-52.898,-41.282
25.785,-41.248
7.812,-41.137
13.5542,-41.1362
25.478,-41.088
14.688,-41.03
109.91,-41.025
100.012,-41.02
9.6623,-41.0005
75.167,-41.0
-94.842,-40.95
9.8942,-40.9363
72.767,-40.767
72.783,-40.767
99.89,-40.622
-164.133,-40.617
99.913,-40.612
98.94,-40.603
-135.133,-40.583
114.535,-40.553
-75.145,-40.495
-75.243,-40.483
-75.915,-40.479
24.163,-40.42
87.143,-40.357
-119.583,-40.35
76.517,-40.35
-53.567,-40.3
-144.767,-40.167
-176.1338,-40.1657
104.183,-40.153
104.24,-40.148
94.89,-40.085
-49.167,-40.083
179.9965,-40.0307
110.028,-40.017
126.04,-40.007
-150.0,-40.0
-132.583,-40.0
-120.017,-40.0
-109.85,-40.0
-105.067,-40.0
55.533,-40.0
-178.8227,-39.9942
110.063,-39.987
-107.367,-39.983
-112.0,-39.967
104.928,-39.958
104.95,-39.958
-82.95,-39.95
104.953,-39.942
-176.224,-39.9412
-176.2238,-39.9412
-96.967,-39.933
-85.917,-39.933
99.935,-39.933
-39.987,-39.92
85.41,-39.895
-96.908,-39.892
-75.888,-39.888
-75.887,-39.888
-177.6577,-39.8775
-177.6578,-39.8773
-52.48,-39.873
160.5,-39.75
67.883,-39.733
67.967,-39.717
-75.247,-39.665
-75.188,-39.66
-75.172,-39.657
-130.183,-39.617
-127.433,-39.533
83.723,-39.515
114.473,-39.515
-75.0,-39.392
24.493,-39.363
-163.35,-39.35
-134.4667,-39.35
24.287,-39.227
24.287,-39.225
89.378,-39.178
-52.83,-39.135
82.17,-39.107
82.188,-39.098
-113.717,-39.042
-75.633,-39.033
-108.55,-39.027
-113.025,-39.025
-109.733,-39.022
-115.083,-39.017
-110.517,-39.017
-102.717,-39.017
-102.017,-39.017
47.883,-39.017
99.948,-39.005
-111.847,-39.002
-112.433,-39.0
-104.117,-39.0
-103.55,-39.0
-107.553,-38.988
-107.5,-38.983
24.378,-38.983
103.718,-38.978
103.653,-38.975
-114.638,-38.973
-111.35,-38.967
-107.9,-38.967
17.45,-38.952
-109.1,-38.933
97.965,-38.888
154.898,-38.875
-135.5,-38.85
-83.35,-38.8167
59.3,-38.75
80.718,-38.728
79.918,-38.543
79.898,-38.542
-163.667,-38.417
-167.992,-38.413
23.667,-38.4
-49.367,-38.367
-95.467,-38.317
160.238,-38.285
-46.417,-38.267
-46.06,-38.167
114.517,-38.067
-140.0,-38.0
51.183,-38.0
77.685,-37.973
-134.983,-37.967
-41.383,-37.908
100.028,-37.86
-75.748,-37.847
-45.3,-37.833
77.418,-37.788
77.685,-37.763
71.7,-37.733
77.607,-37.697
-75.431,-37.674
-49.167,-37.667
157.55,-37.655
103.077,-37.653
90.692,-37.652
90.693,-37.652
103.103,-37.645
121.092,-37.567
-50.867,-37.543
-3.587,-37.538
118.867,-37.483
108.95,-37.445
-94.65,-37.433
-94.667,-37.417
59.317,-37.383
